Item,Date,Selling_Price
Item_1,30/11/2024,0.74
Item_1,31/12/2024,0.82
Item_1,31/01/2025,0.79
Item_1,28/02/2025,0.77
Item_1,31/03/2025,0.7
Item_1,30/04/2025,0.7
Item_2,30/11/2024,3.96
Item_2,31/12/2024,4.66
Item_2,31/01/2025,4.43
Item_2,28/02/2025,4.52
Item_2,31/03/2025,3.93
Item_2,30/04/2025,4.75
Item_3,30/11/2024,2.18
Item_3,31/12/2024,1.92
Item_3,31/01/2025,1.91
Item_3,28/02/2025,1.91
Item_3,31/03/2025,1.96
Item_3,30/04/2025,2.05
Item_4,30/11/2024,0.77
Item_4,31/12/2024,0.75
Item_4,31/01/2025,0.8
Item_4,28/02/2025,0.72
Item_4,31/03/2025,0.75
Item_4,30/04/2025,0.76
Item_5,30/11/2024,2.67
Item_5,31/12/2024,2.84
Item_5,31/01/2025,2.53
Item_5,28/02/2025,2.7
Item_5,31/03/2025,2.74
Item_5,30/04/2025,2.45
Item_6,30/11/2024,5.63
Item_6,31/12/2024,5.15
Item_6,31/01/2025,5.03
Item_6,28/02/2025,6.01
Item_6,31/03/2025,6.03
Item_6,30/04/2025,5.85
Item_7,30/11/2024,6.17
Item_7,31/12/2024,5.91
Item_7,31/01/2025,6.66
Item_7,28/02/2025,6.35
Item_7,31/03/2025,5.94
Item_7,30/04/2025,6.42
Item_8,30/11/2024,5.85
Item_8,31/12/2024,6.98
Item_8,31/01/2025,6.14
Item_8,28/02/2025,6.66
Item_8,31/03/2025,6.21
Item_8,30/04/2025,6.47
Item_9,30/11/2024,4.64
Item_9,31/12/2024,4.31
Item_9,31/01/2025,5.03
Item_9,28/02/2025,4.86
Item_9,31/03/2025,5.01
Item_9,30/04/2025,4.97
Item_10,30/11/2024,2.23
Item_10,31/12/2024,2.37
Item_10,31/01/2025,2
Item_10,28/02/2025,2.05
Item_10,31/03/2025,1.99
Item_10,30/04/2025,2.11
Item_11,30/11/2024,2.68
Item_11,31/12/2024,2.62
Item_11,31/01/2025,2.92
Item_11,28/02/2025,2.66
Item_11,31/03/2025,2.62
Item_11,30/04/2025,2.77
Item_12,30/11/2024,6.72
Item_12,31/12/2024,7.68
Item_12,31/01/2025,6.62
Item_12,28/02/2025,7.95
Item_12,31/03/2025,7.64
Item_12,30/04/2025,6.8
Item_13,30/11/2024,7.7
Item_13,31/12/2024,9.08
Item_13,31/01/2025,8.89
Item_13,28/02/2025,8.93
Item_13,31/03/2025,9
Item_13,30/04/2025,7.81
Item_14,30/11/2024,1.06
Item_14,31/12/2024,1.01
Item_14,31/01/2025,1.17
Item_14,28/02/2025,1.12
Item_14,31/03/2025,1.06
Item_14,30/04/2025,1
Item_15,30/11/2024,10.39
Item_15,31/12/2024,10.43
Item_15,31/01/2025,11.3
Item_15,28/02/2025,11.1
Item_15,31/03/2025,11.64
Item_15,30/04/2025,10.74
Item_16,30/11/2024,15.69
Item_16,31/12/2024,17.7
Item_16,31/01/2025,17.86
Item_16,28/02/2025,17.19
Item_16,31/03/2025,17.9
Item_16,30/04/2025,16.96
Item_17,30/11/2024,2.56
Item_17,31/12/2024,2.51
Item_17,31/01/2025,2.31
Item_17,28/02/2025,2.35
Item_17,31/03/2025,2.31
Item_17,30/04/2025,2.62
Item_18,30/11/2024,8.64
Item_18,31/12/2024,8.99
Item_18,31/01/2025,9.7
Item_18,28/02/2025,8.52
Item_18,31/03/2025,8.81
Item_18,30/04/2025,9.43
Item_19,30/11/2024,17.82
Item_19,31/12/2024,17.24
Item_19,31/01/2025,18.04
Item_19,28/02/2025,17.56
Item_19,31/03/2025,20.46
Item_19,30/04/2025,20
Item_20,30/11/2024,1.79
Item_20,31/12/2024,1.87
Item_20,31/01/2025,1.85
Item_20,28/02/2025,1.63
Item_20,31/03/2025,1.88
Item_20,30/04/2025,1.76
